[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 0
  VAL_FRAC = 0.1
  SEED = 0
  NOISE_P = 0.3
  NOISE_MODE = thinning

1233 個 patch，device=mps，噪聲 thinning p=0.3
epoch    1 | train_nll 1.08611 | train_fsce 0.00000 | val_dev 4.85755 | expl_dev -2.28457
epoch    5 | train_nll -0.59410 | train_fsce 0.00000 | val_dev 1.64676 | expl_dev -0.11351
epoch   10 | train_nll -0.95928 | train_fsce 0.00000 | val_dev 1.17178 | expl_dev 0.20767
epoch   15 | train_nll -0.99600 | train_fsce 0.00000 | val_dev 1.15071 | expl_dev 0.22191
epoch   20 | train_nll -1.01110 | train_fsce 0.00000 | val_dev 1.13677 | expl_dev 0.23134
epoch   25 | train_nll -1.01980 | train_fsce 0.00000 | val_dev 1.12858 | expl_dev 0.23688
epoch   30 | train_nll -1.03488 | train_fsce 0.00000 | val_dev 1.11211 | expl_dev 0.24802
epoch   35 | train_nll -1.08917 | train_fsce 0.00000 | val_dev 1.01531 | expl_dev 0.31347
epoch   40 | train_nll -1.13552 | train_fsce 0.00000 | val_dev 0.93628 | expl_dev 0.36691
epoch   45 | train_nll -1.17243 | train_fsce 0.00000 | val_dev 0.86787 | expl_dev 0.41316
epoch   50 | train_nll -1.19099 | train_fsce 0.00000 | val_dev 0.83956 | expl_dev 0.43231
epoch   55 | train_nll -1.20377 | train_fsce 0.00000 | val_dev 0.83660 | expl_dev 0.43431
epoch   60 | train_nll -1.20936 | train_fsce 0.00000 | val_dev 0.82455 | expl_dev 0.44246
epoch   65 | train_nll -1.21999 | train_fsce 0.00000 | val_dev 0.83043 | expl_dev 0.43848
epoch   70 | train_nll -1.22443 | train_fsce 0.00000 | val_dev 0.82540 | expl_dev 0.44188
epoch   75 | train_nll -1.22845 | train_fsce 0.00000 | val_dev 0.81593 | expl_dev 0.44829
epoch   80 | train_nll -1.23401 | train_fsce 0.00000 | val_dev 0.81737 | expl_dev 0.44731
epoch   85 | train_nll -1.23330 | train_fsce 0.00000 | val_dev 0.82477 | expl_dev 0.44231
epoch   90 | train_nll -1.23699 | train_fsce 0.00000 | val_dev 0.81748 | expl_dev 0.44724
epoch   95 | train_nll -1.23885 | train_fsce 0.00000 | val_dev 0.81594 | expl_dev 0.44828
epoch  100 | train_nll -1.24481 | train_fsce 0.00000 | val_dev 0.81702 | expl_dev 0.44755
epoch  105 | train_nll -1.24467 | train_fsce 0.00000 | val_dev 0.81363 | expl_dev 0.44984
epoch  110 | train_nll -1.24534 | train_fsce 0.00000 | val_dev 0.80794 | expl_dev 0.45369
epoch  115 | train_nll -1.24883 | train_fsce 0.00000 | val_dev 0.80582 | expl_dev 0.45512
epoch  120 | train_nll -1.25241 | train_fsce 0.00000 | val_dev 0.80911 | expl_dev 0.45289
epoch  125 | train_nll -1.25143 | train_fsce 0.00000 | val_dev 0.80668 | expl_dev 0.45454
epoch  130 | train_nll -1.25755 | train_fsce 0.00000 | val_dev 0.79476 | expl_dev 0.46260
epoch  135 | train_nll -1.25678 | train_fsce 0.00000 | val_dev 0.79311 | expl_dev 0.46372
epoch  140 | train_nll -1.25697 | train_fsce 0.00000 | val_dev 0.79335 | expl_dev 0.46355
epoch  145 | train_nll -1.26085 | train_fsce 0.00000 | val_dev 0.78981 | expl_dev 0.46594
epoch  150 | train_nll -1.26921 | train_fsce 0.00000 | val_dev 0.78525 | expl_dev 0.46903
epoch  155 | train_nll -1.26871 | train_fsce 0.00000 | val_dev 0.78891 | expl_dev 0.46656
epoch  160 | train_nll -1.26490 | train_fsce 0.00000 | val_dev 0.79282 | expl_dev 0.46391
epoch  165 | train_nll -1.26829 | train_fsce 0.00000 | val_dev 0.78280 | expl_dev 0.47069
epoch  170 | train_nll -1.27038 | train_fsce 0.00000 | val_dev 0.78547 | expl_dev 0.46888
epoch  175 | train_nll -1.26708 | train_fsce 0.00000 | val_dev 0.76906 | expl_dev 0.47998
epoch  180 | train_nll -1.26544 | train_fsce 0.00000 | val_dev 0.77203 | expl_dev 0.47797
epoch  185 | train_nll -1.27633 | train_fsce 0.00000 | val_dev 0.76927 | expl_dev 0.47983
epoch  190 | train_nll -1.27231 | train_fsce 0.00000 | val_dev 0.78786 | expl_dev 0.46726
epoch  195 | train_nll -1.27509 | train_fsce 0.00000 | val_dev 0.78064 | expl_dev 0.47215
epoch  200 | train_nll -1.27610 | train_fsce 0.00000 | val_dev 0.77569 | expl_dev 0.47550
epoch  205 | train_nll -1.27950 | train_fsce 0.00000 | val_dev 0.76461 | expl_dev 0.48299
epoch  210 | train_nll -1.27838 | train_fsce 0.00000 | val_dev 0.77000 | expl_dev 0.47935
epoch  215 | train_nll -1.28315 | train_fsce 0.00000 | val_dev 0.75936 | expl_dev 0.48654
epoch  220 | train_nll -1.28059 | train_fsce 0.00000 | val_dev 0.75835 | expl_dev 0.48722
epoch  225 | train_nll -1.27982 | train_fsce 0.00000 | val_dev 0.76431 | expl_dev 0.48319
epoch  230 | train_nll -1.28054 | train_fsce 0.00000 | val_dev 0.75302 | expl_dev 0.49082
epoch  235 | train_nll -1.28335 | train_fsce 0.00000 | val_dev 0.75052 | expl_dev 0.49252
epoch  240 | train_nll -1.28707 | train_fsce 0.00000 | val_dev 0.75603 | expl_dev 0.48879
