category,n_poi,n_leaf,checkin_sum,checkin_mean,poi_ratio,checkin_ratio,patch_presence,mean_per_patch,std_per_patch
Dining and Drinking,24878,81,90967,3.6565238363212478,41.93793091822457,16.44931231397397,99.59448499594485,9.551500405515004,5.727367919268874
Retail,12629,60,92652,7.336447858104363,21.289256755617743,16.75400622769044,87.26682887266828,3.7899432278994323,4.100462764510588
Nightlife Spot,4249,23,15058,3.5438926806307367,7.162724836061428,2.722896707859114,67.80210867802109,2.1500405515004055,3.0023316828872404
Community and Government,3936,64,26874,6.827743902439025,6.635087068660339,4.859551476092829,23.600973236009732,0.3333333333333333,0.8354950317338437
Travel and Transportation,3768,26,258177,68.51831210191082,6.351882132802886,46.685436535060596,42.254663422546635,1.0332522303325222,1.990161812777042
Business and Professional Services,3173,27,17235,5.431768042861645,5.348864651641072,3.116557627835823,46.95863746958637,0.7493917274939172,1.0103209451316801
Landmarks and Outdoors,2786,24,21715,7.794328786791098,4.696481852969438,3.926663701099791,26.11516626115166,0.3633414436334144,0.7629951198824775
Arts and Entertainment,2307,40,22528,9.76506285218899,3.8890106370425315,4.073676254127382,41.84914841849148,0.7704785077047851,1.3124174116503398
Health and Medicine,1006,7,3034,3.0159045725646125,1.6958581278130849,0.5486298719381426,16.220600162206,0.17761557177615572,0.42267525929756117
Sports and Recreation,589,19,4774,8.105263157894736,0.9929030191669054,0.8632692843219159,5.920519059205191,0.06163828061638281,0.25051163663958825
