n_poi,n_cat,entropy,dominance
28,5,1.2012748872128909,0.4642857142857143
35,4,1.098672012123445,0.5714285714285714
14,4,0.9911388966130941,0.6428571428571429
27,6,1.1625735040692895,0.6296296296296297
20,5,1.3747764025076896,0.35
10,3,0.8979457248567797,0.6
19,5,1.2672355454598958,0.5263157894736842
10,3,0.8018185525433373,0.7
14,3,0.8304717124362917,0.6428571428571429
10,4,1.1682824501765625,0.5
18,7,1.6769877743224173,0.3333333333333333
13,4,1.1189688668816267,0.46153846153846156
27,6,1.195028576721381,0.5185185185185185
14,4,1.0547209169068124,0.5714285714285714
12,5,1.3143738430069454,0.5
10,3,1.0296530140645737,0.5
11,4,0.8855741515766717,0.7272727272727273
10,4,1.2798542258336674,0.4
12,5,1.3143738430069454,0.5
10,4,1.2798542258336674,0.4
26,3,0.8981370031878679,0.5384615384615384
11,2,0.30463609734923813,0.9090909090909091
10,3,0.639031859650177,0.8
17,5,1.4669071049122546,0.35294117647058826
23,5,1.3821088226677314,0.391304347826087
11,4,1.1209503926735833,0.5454545454545454
16,2,0.6853142072764582,0.5625
15,5,1.4019454593787288,0.4
17,5,1.3853603777875552,0.47058823529411764
14,5,1.2153881010836147,0.5714285714285714
14,3,1.0042424730540764,0.42857142857142855
12,4,1.1269287948006759,0.5
10,4,0.9404479886553263,0.7
21,6,1.5714463637221348,0.2857142857142857
12,4,1.0751393240053735,0.5833333333333334
10,4,1.0888999753452235,0.6
15,5,1.2634794940650305,0.4666666666666667
17,5,1.3180238017106034,0.4117647058823529
21,4,0.9019513816860839,0.6666666666666666
30,7,1.5283448908124675,0.4
13,4,1.0317671113505356,0.6153846153846154
17,5,1.4520440731936834,0.35294117647058826
16,3,0.8647400965276372,0.5625
22,6,1.2469771527753917,0.5454545454545454
13,4,1.2711814802605796,0.46153846153846156
12,4,1.1988493129136213,0.5
10,4,1.1682824501765625,0.5
13,4,1.2047933096947843,0.46153846153846156
16,4,1.2554823251787535,0.375
11,3,0.9075352941050092,0.6363636363636364
10,2,0.6931471805599453,0.5
20,4,1.094056456831614,0.5
20,5,1.1024288055726656,0.6
15,3,0.8033149761408755,0.6666666666666666
15,6,1.4878167164014493,0.4666666666666667
21,4,0.9019513816860838,0.6666666666666666
17,3,0.9718487712358765,0.47058823529411764
10,5,1.3592367006650063,0.5
15,3,0.7298712099831164,0.7333333333333333
10,3,0.8018185525433372,0.7
33,5,1.1553901063617285,0.6060606060606061
32,4,1.1092556235581623,0.53125
45,4,1.18378191447771,0.5111111111111111
14,6,1.710493230055004,0.2857142857142857
11,7,1.666332585328325,0.45454545454545453
47,6,1.327406729882703,0.5106382978723404
46,7,1.5891827391340465,0.43478260869565216
52,4,1.029703494369017,0.5384615384615384
15,5,1.2868726303980162,0.5333333333333333
12,6,1.6326309271543518,0.3333333333333333
17,6,1.6499886811375823,0.35294117647058826
25,6,1.3959373909399524,0.4
18,4,0.9779252266210214,0.6111111111111112
15,4,1.235144651532666,0.4
13,4,0.937155853065701,0.6923076923076923
18,3,0.7867012379169145,0.6666666666666666
10,4,1.2798542258336676,0.4
24,3,0.887694275799104,0.5833333333333334
17,6,1.3945573191650282,0.5294117647058824
12,5,1.2342678660790765,0.5833333333333334
14,3,0.796311640173813,0.7142857142857143
14,3,0.6559757323365467,0.7857142857142857
10,5,1.4708084763221112,0.4
13,3,1.0100997593541636,0.5384615384615384
12,4,1.236684869140504,0.4166666666666667
17,4,1.1499171377909299,0.5294117647058824
12,5,1.2342678660790765,0.5833333333333334
11,3,0.7595473914748635,0.7272727272727273
21,5,1.1753622605450231,0.5714285714285714
15,3,0.8532361505557784,0.6
23,6,1.301348304734199,0.5652173913043478
13,6,1.6052071074554588,0.3076923076923077
12,4,1.242453324894,0.5
12,6,1.5832584594204766,0.4166666666666667
19,4,0.8976221848780437,0.6842105263157895
12,4,1.198849312913621,0.5
10,4,1.1682824501765627,0.5
15,4,1.194453006323357,0.5333333333333333
31,7,1.4099471313627636,0.45161290322580644
23,6,1.60472424903704,0.391304347826087
11,4,1.2406842919533958,0.45454545454545453
18,4,1.228310352160882,0.3888888888888889
11,3,0.7595473914748635,0.7272727272727273
16,5,1.229918603764207,0.5
10,4,1.0888999753452235,0.6
10,5,1.4184836619456567,0.4
10,5,1.3592367006650063,0.5
25,8,1.8569964508738956,0.32
23,7,1.62446453924237,0.391304347826087
25,5,1.2594586934552905,0.48
24,6,1.469065859724561,0.4583333333333333
27,7,1.513526419042573,0.4444444444444444
20,5,1.1752045970807579,0.45
11,4,1.0335620542068176,0.6363636363636364
10,5,1.3592367006650063,0.5
10,2,0.5004024235381879,0.8
34,5,1.0230831874523587,0.5
10,2,0.6108643020548935,0.7
22,3,0.8192299997020129,0.5909090909090909
16,5,1.424442778503618,0.375
31,6,1.215485112649764,0.5161290322580645
20,3,0.8451132568429528,0.55
13,5,1.303875529336385,0.5384615384615384
11,3,0.9347698978582794,0.45454545454545453
11,4,1.162225544921092,0.45454545454545453
14,3,0.8982053397041498,0.5
12,3,0.7214636866925115,0.75
10,5,1.4708084763221114,0.4
11,4,1.2406842919533958,0.45454545454545453
14,4,1.30130555043691,0.42857142857142855
10,5,1.5047882836811908,0.3
14,4,1.1709971261162124,0.5
10,4,0.9404479886553263,0.7
12,3,0.5660857389596289,0.8333333333333334
10,2,0.5004024235381879,0.8
18,5,1.2919060073446698,0.4444444444444444
10,6,1.6957425341696344,0.3
16,7,1.628619830332818,0.4375
16,7,1.5595811562598767,0.5
14,3,0.6559757323365467,0.7857142857142857
10,5,1.4184836619456564,0.4
14,3,0.8304717124362917,0.6428571428571429
15,5,1.2293362159076602,0.5333333333333333
10,4,1.1682824501765627,0.5
21,4,0.9550807986656575,0.6666666666666666
10,4,1.2206072645530173,0.5
23,7,1.3482904899303108,0.6086956521739131
11,4,1.2406842919533958,0.45454545454545453
13,3,1.0579054247036734,0.46153846153846156
10,4,1.313834033192747,0.3
23,6,1.3508125800813655,0.43478260869565216
20,3,0.8864644756797975,0.65
22,6,1.2603236600583418,0.5909090909090909
14,2,0.6829081047004717,0.5714285714285714
28,6,1.2624264186578267,0.5714285714285714
31,6,1.067262845921202,0.6774193548387096
10,6,1.4978661367769952,0.5
12,3,0.7214636866925115,0.75
12,5,1.4241299173467734,0.4166666666666667
11,4,1.1685184057430877,0.5454545454545454
18,4,1.2110440167801229,0.4444444444444444
26,6,1.316944686012954,0.5384615384615384
10,4,1.2206072645530173,0.5
17,6,1.3156580703985552,0.5882352941176471
26,7,1.576593516938441,0.4230769230769231
40,7,1.3448505492699772,0.55
22,4,1.0534722169054482,0.5454545454545454
12,2,0.5623351446188083,0.75
10,4,0.9404479886553263,0.7
22,5,1.1973102800074378,0.5909090909090909
10,3,0.8018185525433372,0.7
15,4,1.0775733728921972,0.6
15,6,1.5226999259857525,0.4666666666666667
11,3,0.7595473914748635,0.7272727272727273
10,2,0.5004024235381879,0.8
11,3,0.9347698978582794,0.45454545454545453
13,5,1.3778195080390327,0.46153846153846156
14,4,0.8953326659680909,0.7142857142857143
12,5,1.4241299173467734,0.4166666666666667
11,3,0.8599672810355049,0.6363636363636364
10,2,0.5004024235381879,0.8
14,4,1.1709971261162124,0.5
11,3,0.7595473914748635,0.7272727272727273
13,5,1.4180693652516903,0.46153846153846156
13,6,1.5247073930301434,0.46153846153846156
10,4,1.2798542258336674,0.4
11,3,0.9347698978582794,0.45454545454545453
10,5,1.5047882836811908,0.3
12,3,0.8239592165010823,0.6666666666666666
16,5,1.1601862439785164,0.625
12,5,1.3579778549873243,0.5
10,5,1.4708084763221112,0.4
15,3,1.0606018056124555,0.4666666666666667
10,4,1.2798542258336674,0.4
11,4,1.1209503926735835,0.5454545454545454
22,5,1.0458609907772194,0.6363636363636364
16,3,0.9743147528693494,0.5
11,4,1.2406842919533958,0.45454545454545453
16,4,0.9868994488385301,0.625
11,5,1.4681399390162087,0.36363636363636365
11,4,1.2406842919533958,0.45454545454545453
11,4,1.0335620542068176,0.6363636363636364
14,5,1.1275347898191255,0.6428571428571429
20,8,1.820288191483982,0.35
17,8,1.7873160424828713,0.4117647058823529
29,6,1.3415161296140619,0.5517241379310345
29,3,0.9415945669908214,0.5862068965517241
54,4,0.9838940702403349,0.5925925925925926
57,5,1.1261954878414138,0.6140350877192983
16,4,0.8222653373287878,0.75
13,6,1.5857708352080966,0.38461538461538464
30,5,0.9753311982396295,0.7
31,5,1.2827043247024936,0.4838709677419355
23,5,1.4196325712483984,0.391304347826087
11,4,1.2636544318820966,0.36363636363636365
23,6,1.5979265097580382,0.34782608695652173
17,4,1.0533954983605762,0.47058823529411764
16,3,0.7774621319109288,0.6875
10,3,1.0549201679861442,0.4
13,6,1.5247073930301438,0.46153846153846156
28,7,1.7590358119965461,0.32142857142857145
26,7,1.484457535817486,0.46153846153846156
12,2,0.6365141682948128,0.6666666666666666
15,4,1.2105578441774711,0.4666666666666667
24,4,1.298077406452795,0.4166666666666667
33,5,1.4280374492072114,0.45454545454545453
13,5,1.2636256721237273,0.5384615384615384
20,6,1.27068172232498,0.6
12,4,1.1187433359857524,0.5833333333333334
10,3,0.9433483923290391,0.5
14,5,1.3316643102930148,0.5
33,5,0.8740735854074158,0.7575757575757576
23,5,1.1447195670118664,0.6086956521739131
24,8,1.7110659454096737,0.375
11,4,0.8855741515766717,0.7272727272727273
11,3,0.8599672810355049,0.6363636363636364
14,4,1.1163670752893367,0.5714285714285714
16,4,1.0609581504393426,0.5
13,5,1.2636256721237273,0.5384615384615384
10,6,1.4978661367769954,0.5
12,5,1.4735023850806486,0.3333333333333333
11,2,0.47413931305783735,0.8181818181818182
36,6,1.1861179316673776,0.6111111111111112
22,5,1.0965754342577216,0.6363636363636364
10,4,0.9404479886553263,0.7
10,4,0.9404479886553263,0.7
14,4,0.7549967581308246,0.7857142857142857
10,4,1.2798542258336674,0.4
11,3,0.6001660731596457,0.8181818181818182
10,3,0.8979457248567797,0.6
29,6,1.1513611137491737,0.6551724137931034
10,6,1.6434177197931796,0.3
11,6,1.4205719259467045,0.5454545454545454
12,3,0.7214636866925116,0.75
18,6,1.4066777022503076,0.5
11,3,0.7595473914748635,0.7272727272727273
17,4,1.0710178890244566,0.5882352941176471
20,5,1.4150225884935588,0.4
15,6,1.4878167164014493,0.4666666666666667
23,7,1.4288697063314801,0.5217391304347826
14,4,0.9911388966130941,0.6428571428571429
17,3,0.8082699580001821,0.6470588235294118
