metric,value
raw_checkins,573703
raw_users,2293
raw_unique_poi,61858
raw_span_days,318
raw_first_checkin,2012-04-03
raw_last_checkin,2013-02-16
clean_poi,59321
dropped_poi,2537
leaf_category,371
top_category,10
lat_min,35.510184690694565
lat_max,35.867150422391695
lon_min,139.4708776473999
lon_max,139.91259321570396
bbox_width_km,39.98140785085551
bbox_height_km,39.60595612952457
poi_per_km2,37.461906770860836
cell_size_m,100
patch_window_m,100.0
min_poi,10
occupied_cells,19158
kept_patches,1233
kept_cell_ratio,0.06435953648606327
poi_in_patches,23403
poi_coverage,0.39451459011142764
patch_in_npz,1233
