gx,gy,n_poi
-132,-145,1
-132,-141,1
-131,-145,5
-131,-144,5
-131,-143,2
-131,-142,2
-131,-141,1
-131,-137,1
-131,-136,1
-131,-135,1
-131,-131,1
-131,-129,2
-131,-127,1
-130,-153,2
-130,-148,13
-130,-147,3
-130,-146,5
-130,-145,2
-130,-144,2
-130,-132,1
-130,-130,1
-130,-129,3
-130,-128,2
-130,-127,1
-130,-124,3
-130,-123,1
-130,-121,1
-130,-120,1
-129,-156,1
-129,-153,3
-129,-152,3
-129,-151,1
-129,-150,1
-129,-149,1
-129,-148,7
-129,-147,10
-129,-146,55
-129,-145,6
-129,-144,2
-129,-143,2
-129,-142,2
-129,-141,3
-129,-140,3
-129,-139,2
-129,-138,1
-129,-134,2
-129,-133,12
-129,-131,1
-129,-130,1
-129,-128,4
-129,-127,1
-129,-126,4
-129,-125,1
-129,-121,3
-129,-120,3
-128,-160,4
-128,-153,2
-128,-152,1
-128,-149,2
-128,-148,1
-128,-147,1
-128,-146,64
-128,-145,6
-128,-144,5
-128,-142,1
-128,-140,2
-128,-139,3
-128,-138,2
-128,-137,1
-128,-135,1
-128,-134,27
-128,-133,75
-128,-132,10
-128,-131,8
-128,-126,1
-128,-125,2
-128,-124,9
-128,-123,5
-128,-119,2
-128,-118,1
-127,-163,1
-127,-150,2
-127,-149,1
-127,-148,2
-127,-147,3
-127,-146,5
-127,-145,6
-127,-144,4
-127,-139,1
-127,-136,1
-127,-134,2
-127,-133,13
-127,-132,4
-127,-130,1
-127,-124,1
-127,-123,2
-127,-115,1
-126,-166,1
-126,-164,1
-126,-163,1
-126,-157,1
-126,-153,1
-126,-152,1
-126,-150,2
-126,-148,1
-126,-147,3
-126,-146,5
-126,-145,1
-126,-144,1
-126,-143,1
-126,-135,1
-126,-134,4
-126,-131,2
-126,-130,1
-126,-127,2
-126,-126,1
-126,-123,2
-126,-122,2
-126,-120,3
-126,-119,1
-126,-118,5
-126,-117,6
-126,-113,3
-125,-162,1
-125,-160,4
-125,-159,2
-125,-158,2
-125,-156,4
-125,-153,1
-125,-152,2
-125,-148,1
-125,-146,3
-125,-145,3
-125,-140,3
-125,-139,2
-125,-137,1
-125,-133,1
-125,-132,1
-125,-131,2
-125,-130,2
-125,-129,1
-125,-127,1
-125,-126,1
-125,-125,1
-125,-123,2
-125,-122,1
-125,-120,3
-125,-118,2
-125,-117,8
-124,-172,1
-124,-165,1
-124,-157,1
-124,-153,1
-124,-147,3
-124,-145,2
-124,-144,1
-124,-143,1
-124,-140,1
-124,-134,1
-124,-133,1
-124,-132,1
-124,-131,5
-124,-126,2
-124,-123,1
-124,-121,1
-124,-120,3
-124,-118,1
-124,-117,2
-124,-116,1
-124,-113,1
-123,-174,1
-123,-170,1
-123,-148,2
-123,-147,5
-123,-146,2
-123,-138,1
-123,-133,1
-123,-130,2
-123,-128,1
-123,-127,1
-123,-118,1
-123,-113,1
-123,-112,1
-123,-105,1
-122,-171,1
-122,-161,4
-122,-160,1
-122,-158,2
-122,-152,1
-122,-151,2
-122,-147,2
-122,-145,3
-122,-144,2
-122,-143,1
-122,-140,1
-122,-139,4
-122,-137,2
-122,-136,4
-122,-133,1
-122,-130,2
-122,-129,1
-122,-128,6
-122,-127,1
-122,-126,4
-122,-125,1
-122,-124,1
-122,-123,4
-122,-122,1
-122,-121,1
-122,-120,2
-122,-119,1
-122,-118,1
-122,-115,1
-122,-114,1
-122,-111,1
-122,-108,1
-121,-178,1
-121,-177,2
-121,-175,1
-121,-162,8
-121,-161,2
-121,-153,1
-121,-147,1
-121,-146,2
-121,-142,1
-121,-141,1
-121,-140,2
-121,-138,1
-121,-137,2
-121,-136,1
-121,-134,1
-121,-133,1
-121,-131,3
-121,-124,1
-121,-123,1
-121,-122,1
-121,-121,1
-121,-120,1
-121,-117,2
-121,-116,1
-121,-115,5
-121,-112,3
-121,-110,1
-121,-100,1
-120,-176,3
-120,-170,1
-120,-161,2
-120,-158,1
-120,-149,1
-120,-148,5
-120,-147,3
-120,-146,1
-120,-138,1
-120,-131,3
-120,-125,1
-120,-120,5
-120,-115,5
-120,-114,1
-120,-113,2
-120,-100,1
-119,-180,1
-119,-178,2
-119,-177,14
-119,-176,36
-119,-175,6
-119,-170,2
-119,-148,1
-119,-147,2
-119,-144,1
-119,-136,1
-119,-135,1
-119,-134,12
-119,-133,46
-119,-132,11
-119,-131,2
-119,-129,1
-119,-124,2
-119,-123,1
-119,-121,1
-119,-120,2
-119,-118,1
-119,-116,3
-119,-114,1
-119,-113,3
-119,-111,1
-119,-109,1
-119,-108,1
-119,-101,1
-119,-98,1
-118,-180,3
-118,-178,3
-118,-177,17
-118,-176,48
-118,-175,1
-118,-172,1
-118,-160,2
-118,-154,1
-118,-151,1
-118,-150,1
-118,-148,1
-118,-147,1
-118,-138,3
-118,-136,2
-118,-134,2
-118,-133,7
-118,-132,7
-118,-131,3
-118,-127,3
-118,-126,1
-118,-124,4
-118,-123,1
-118,-121,1
-118,-116,3
-118,-114,1
-118,-113,1
-118,-111,2
-118,-94,1
-117,-183,1
-117,-182,1
-117,-179,1
-117,-174,2
-117,-161,1
-117,-160,1
-117,-159,1
-117,-152,1
-117,-150,7
-117,-149,5
-117,-148,1
-117,-145,1
-117,-142,1
-117,-139,1
-117,-138,2
-117,-134,3
-117,-131,1
-117,-128,1
-117,-126,1
-117,-123,1
-117,-122,10
-117,-121,5
-117,-120,2
-117,-119,2
-117,-118,1
-117,-116,3
-117,-111,1
-117,-107,11
-117,-105,2
-116,-175,1
-116,-167,1
-116,-166,1
-116,-162,3
-116,-159,1
-116,-150,1
-116,-149,1
-116,-148,3
-116,-147,1
-116,-139,2
-116,-137,1
-116,-134,1
-116,-131,1
-116,-127,2
-116,-123,2
-116,-122,16
-116,-121,3
-116,-117,4
-116,-116,2
-116,-115,4
-116,-114,3
-116,-113,3
-116,-112,2
-116,-108,2
-116,-96,1
-116,-92,3
-116,-91,5
-115,-186,1
-115,-180,1
-115,-177,1
-115,-174,8
-115,-167,5
-115,-166,1
-115,-164,1
-115,-163,4
