r_km,n_poi,density
0.5,2698,858.8000729238672
1.5,2646,280.7493196141034
2.5,4004,254.90255685597955
3.5,4855,220.77064248890053
4.5,3466,122.58467394589094
5.5,7556,218.64995454588384
6.5,5016,122.81864531522261
7.5,3230,68.5427288249096
8.5,2665,49.89975568704719
9.5,2185,36.60563691113593
10.5,2133,32.33118986809645
11.5,1857,25.700063419273885
12.5,2161,27.51470656172687
13.5,2222,26.195724707421586
14.5,1454,15.959399121076952
15.5,1630,16.736939176760604
16.5,2342,22.590356164922355
17.5,1005,9.140041017563133
18.5,1354,11.648421240347368
19.5,1072,8.74944097407753
20.5,627,4.8678121618838235
21.5,834,6.173731280867009
22.5,652,4.6119565731518115
23.5,577,3.9077617942137706
24.5,445,2.890773456158916
25.5,543,3.3890640823097713
26.5,92,0.5525379156397876
