cell_x,cell_y,n_poi,kept
-329,-351,1,0
-328,-361,2,0
-328,-360,3,0
-328,-354,1,0
-328,-341,1,0
-328,-337,1,0
-327,-363,1,0
-327,-362,2,0
-327,-361,1,0
-327,-360,1,0
-327,-358,1,0
-327,-357,1,0
-327,-354,1,0
-327,-351,1,0
-327,-340,1,0
-327,-321,1,0
-326,-357,1,0
-326,-327,1,0
-326,-321,1,0
-326,-316,1,0
-325,-362,1,0
-325,-359,1,0
-325,-358,1,0
-325,-329,1,0
-325,-321,1,0
-325,-310,3,0
-324,-381,2,0
-324,-370,3,0
-324,-365,1,0
-324,-364,2,0
-324,-363,1,0
-324,-362,1,0
-324,-324,1,0
-324,-323,1,0
-324,-322,1,0
-324,-320,1,0
-324,-318,1,0
-324,-307,1,0
-323,-382,1,0
-323,-381,1,0
-323,-371,1,0
-323,-370,9,0
-323,-369,3,0
-323,-368,5,0
-323,-366,3,0
-323,-365,2,0
-323,-364,3,0
-323,-363,1,0
-323,-361,1,0
-323,-317,1,0
-323,-314,1,0
-323,-302,1,0
-323,-299,1,0
-322,-378,1,0
-322,-367,1,0
-322,-366,2,0
-322,-365,5,0
-322,-364,3,0
-322,-363,2,0
-322,-362,1,0
-322,-361,1,0
-322,-360,1,0
-322,-354,1,0
-322,-345,1,0
-322,-332,3,0
-322,-326,1,0
-322,-320,3,0
-322,-317,1,0
-322,-315,2,0
-322,-313,2,0
-322,-303,1,0
-322,-301,2,0
-322,-299,2,0
-321,-389,1,0
-321,-381,1,0
-321,-379,3,0
-321,-375,1,0
-321,-369,1,0
-321,-367,1,0
-321,-366,5,0
-321,-365,9,0
-321,-364,28,1
-321,-363,5,0
-321,-361,1,0
-321,-359,1,0
-321,-357,1,0
-321,-356,1,0
-321,-355,1,0
-321,-353,1,0
-321,-351,2,0
-321,-350,1,0
-321,-348,2,0
-321,-347,1,0
-321,-346,1,0
-321,-335,1,0
-321,-334,1,0
-321,-332,3,0
-321,-331,6,0
-321,-325,1,0
-321,-319,1,0
-321,-299,1,0
-320,-382,1,0
-320,-381,1,0
-320,-372,1,0
-320,-366,1,0
-320,-365,4,0
-320,-364,35,1
-320,-363,5,0
-320,-362,1,0
-320,-354,1,0
-320,-347,1,0
-320,-344,1,0
-320,-341,1,0
-320,-334,14,1
-320,-333,27,1
-320,-332,20,1
-320,-331,3,0
-320,-330,2,0
-320,-329,3,0
-320,-326,1,0
-320,-315,1,0
-320,-311,2,0
-320,-310,3,0
-320,-309,3,0
-320,-308,5,0
-320,-307,2,0
-320,-306,1,0
-319,-378,1,0
-319,-371,1,0
-319,-365,5,0
-319,-364,10,1
-319,-363,6,0
-319,-362,2,0
-319,-360,5,0
-319,-350,2,0
-319,-347,1,0
-319,-346,1,0
-319,-345,1,0
-319,-337,1,0
-319,-334,2,0
-319,-333,2,0
-319,-332,19,1
-319,-331,9,0
-319,-330,2,0
-319,-329,1,0
-319,-328,2,0
-319,-295,1,0
-318,-399,4,0
-318,-368,1,0
-318,-366,1,0
-318,-365,1,0
-318,-363,2,0
-318,-359,1,0
-318,-334,1,0
-318,-333,1,0
-318,-332,10,1
-318,-331,2,0
-318,-330,1,0
-318,-328,6,0
-318,-327,1,0
-318,-326,1,0
-318,-307,2,0
-318,-297,2,0
-317,-374,1,0
-317,-371,1,0
-317,-370,1,0
-317,-366,2,0
-317,-365,2,0
-317,-363,3,0
-317,-362,1,0
-317,-361,1,0
-317,-360,1,0
-317,-359,1,0
-317,-333,3,0
-317,-331,2,0
-317,-329,1,0
-317,-310,1,0
-316,-408,1,0
-316,-374,1,0
-316,-370,1,0
-316,-365,1,0
-316,-363,1,0
-316,-362,1,0
-316,-358,1,0
-316,-346,1,0
-316,-339,1,0
-316,-333,2,0
-316,-329,1,0
-316,-325,1,0
-316,-288,1,0
-315,-408,1,0
-315,-375,1,0
-315,-374,1,0
-315,-368,1,0
-315,-366,2,0
-315,-365,4,0
-315,-363,1,0
-315,-356,1,0
-315,-338,1,0
-315,-334,3,0
-315,-328,1,0
-315,-307,1,0
-315,-297,1,0
-315,-281,1,0
-314,-407,1,0
-314,-380,1,0
-314,-363,1,0
-314,-326,1,0
-314,-324,1,0
-314,-316,1,0
-314,-315,1,0
-314,-299,1,0
-314,-295,1,0
-314,-294,3,0
-314,-292,3,0
-314,-282,1,0
-313,-413,1,0
-313,-404,1,0
-313,-393,1,0
-313,-391,1,0
