x,y,category
-23149.660786105414,-32804.16137636756,Retail
-23008.17814778482,-32839.29337432006,Nightlife Spot
-23102.08059262749,-32676.599098182964,Retail
-23039.120942017977,-32764.0945319313,Arts and Entertainment
-23237.852819233725,-32837.036212784195,Retail
-23144.615381818887,-32667.37160307325,Dining and Drinking
-23164.076370859137,-32654.548355617506,Retail
-23018.80959425861,-32887.38512364966,Dining and Drinking
-23033.746157928985,-32750.57656302364,Retail
-23011.597309846144,-32831.82205713874,Dining and Drinking
-23008.661858330004,-32678.340967550354,Retail
-23009.99205362971,-32669.205475721246,Arts and Entertainment
-23187.450589448188,-32868.82324341613,Retail
-23188.849492789956,-32846.8299944381,Dining and Drinking
-23190.614734457704,-32872.19800435979,Retail
-23051.624172407883,-32718.633636048955,Dining and Drinking
-23045.875864495014,-32748.249515979627,Dining and Drinking
-23228.362269858255,-32827.636944897815,Dining and Drinking
-23119.58935279384,-32689.871387187835,Dining and Drinking
-23029.66313726519,-32615.95664833062,Community and Government
-23202.663573214868,-32826.079406224264,Dining and Drinking
-23072.47233256513,-32708.9139139318,Dining and Drinking
-23007.0384471371,-32887.65725925342,Retail
-23212.34323497476,-32694.173586602905,Dining and Drinking
-23285.974234157125,-32814.92069066737,Dining and Drinking
-23202.355858108916,-32628.109905758825,Retail
-23110.72640914135,-32859.11575278692,Retail
-23028.353225289087,-32730.051082891972,Dining and Drinking
-23012.25851388436,-32841.4293124807,Dining and Drinking
-23081.684420245827,-32881.70470400063,Retail
-23204.443968779116,-32684.164583405098,Dining and Drinking
-23241.34186706193,-32871.82380095806,Travel and Transportation
-23033.26574348575,-32752.510936801173,Dining and Drinking
-23039.992779760247,-32725.91301679622,Dining and Drinking
-23100.4833196396,-32840.294184980754,Retail
-23043.444620275553,-32721.3265000763,Nightlife Spot
-23001.54720052234,-32886.93424269865,Dining and Drinking
-23006.796315297564,-32841.02058338676,Nightlife Spot
-23061.90690427812,-32721.69830520227,Arts and Entertainment
-23152.803991116565,-32613.25766305358,Dining and Drinking
-23177.59251257937,-32625.516534838862,Nightlife Spot
-23162.036402347352,-32616.85815659002,Dining and Drinking
-23121.003432508787,-32704.438220959582,Retail
-23147.091858542015,-32707.768013967736,Arts and Entertainment
-23066.778858094232,-32863.89440073192,Retail
-23135.12521395002,-32628.28524817633,Dining and Drinking
-23009.358058780428,-32773.29064435833,Retail
-23210.639629122354,-32825.99176332553,Retail
-23121.378935792814,-32695.417371562817,Retail
-23032.318561695967,-32808.45346993101,Dining and Drinking
-23255.77233474059,-32760.958970605552,Dining and Drinking
-23083.83989303188,-32786.93440659169,Dining and Drinking
-23201.28430247526,-32682.48136141064,Dining and Drinking
-23034.394100944908,-32719.644888730993,Dining and Drinking
-23047.447176743444,-32792.5866614705,Retail
-23002.66842763942,-32798.243349783545,Dining and Drinking
-23002.391144911813,-32827.01668238438,Dining and Drinking
-23003.028546057725,-32763.420814220037,Dining and Drinking
-23184.714421386627,-32613.589763032873,Dining and Drinking
-23129.991815145815,-32614.28363829921,Dining and Drinking
-23053.24577258803,-32680.891621879502,Nightlife Spot
-23103.037455270485,-32781.55258093699,Business and Professional Services
-23178.369202507736,-32737.151805309753,Dining and Drinking
-23110.761640794168,-32709.082979552644,Dining and Drinking
-23064.88246129423,-32777.076328954456,Retail
-23100.17732655878,-32722.615400591974,Travel and Transportation
-23174.422459836096,-32666.36166362979,Retail
-23114.51232070411,-32865.343014406055,Retail
-23189.5656138922,-32638.205006125478,Dining and Drinking
-23067.31821357399,-32711.786196349894,Nightlife Spot
-23008.038436385115,-32807.42369987558,Nightlife Spot
-23103.60635153396,-32810.9477613772,Nightlife Spot
-23248.009341605306,-32768.30156337196,Business and Professional Services
-23290.835167837828,-32795.42840800009,Dining and Drinking
-23004.661274626054,-32813.23716108146,Dining and Drinking
-23051.894136805986,-32854.109121257876,Dining and Drinking
-23011.692644353232,-32805.40113590802,Nightlife Spot
-23048.0955430862,-32778.433130345315,Dining and Drinking
-23051.067292207685,-32708.9827599428,Retail
-23019.289178044113,-32791.45145595673,Dining and Drinking
