model,sample_id,step,amount,z1,z2
AE,0,0,0,0.7231131,-2.4623675
AE,0,1,1,-0.040698115,-2.450284
AE,0,2,2,-1.1795242,1.157447
AE,0,3,3,-1.46342,0.3985687
AE,1,0,0,0.44496807,0.12870821
AE,1,1,1,0.00600409,-1.2163204
AE,1,2,2,-1.1147867,1.0208253
AE,1,3,3,-1.7091141,0.13612115
AE,2,0,0,-0.1431046,-0.5295636
AE,2,1,1,-0.808668,-1.0968273
AE,2,2,2,-1.0856187,-1.1645542
AE,2,3,3,-1.1456914,-0.9893476
AE,3,0,0,5.01837,-0.16080613
AE,3,1,1,5.123219,-0.5740835
AE,3,2,2,5.1593733,-1.1673297
AE,3,3,3,4.8989124,-2.079859
AE,4,0,0,0.72619146,0.017284963
AE,4,1,1,-0.73159075,0.8152641
AE,4,2,2,-1.0186536,0.94466513
AE,4,3,3,-1.5444717,0.43446425
AE,5,0,0,0.14577226,-0.18271169
AE,5,1,1,-0.7003628,0.12476585
AE,5,2,2,-0.9347476,0.0503936
AE,5,3,3,-1.1980876,-0.109123915
AE,6,0,0,-0.20348254,0.85678273
AE,6,1,1,-0.8210425,0.47314897
AE,6,2,2,-0.9451711,0.35149547
AE,6,3,3,-1.085629,0.16026978
AE,7,0,0,0.29337668,0.9495255
AE,7,1,1,-1.247556,2.340942
AE,7,2,2,-1.0708258,1.544932
AE,7,3,3,-1.2487857,1.0664895
AE,8,0,0,0.17756478,-0.076039344
AE,8,1,1,-0.2818346,-0.41182268
AE,8,2,2,-0.81116945,-0.2868915
AE,8,3,3,-1.080691,-0.39539856
AE,9,0,0,0.09710092,-0.14896093
AE,9,1,1,-0.46963653,-0.43554187
AE,9,2,2,-0.85005295,-0.32941258
AE,9,3,3,-1.0649345,-0.40679944
AE,10,0,0,0.8169722,-1.6660458
AE,10,1,1,4.744628,-4.481828
AE,10,2,2,-0.75163734,1.028804
AE,10,3,3,-2.4497502,-0.07608448
AE,11,0,0,-1.736583,-0.9064739
AE,11,1,1,-1.5087172,-0.89351434
AE,11,2,2,-1.4217144,-0.928835
AE,11,3,3,-1.3718815,-0.90981245
AE,12,0,0,0.41812408,-0.53307045
AE,12,1,1,1.164731,-3.2784553
AE,12,2,2,-1.5427138,-7.9751067
AE,12,3,3,-3.1211028,-4.599719
AE,13,0,0,0.055036813,0.19948183
AE,13,1,1,-0.603176,-0.73333544
AE,13,2,2,-0.99360484,-0.5612357
AE,13,3,3,-1.16,-0.62704176
AE,14,0,0,1.0280639,-2.1288857
AE,14,1,1,1.4124948,-3.6762867
AE,14,2,2,-0.7524979,-7.028766
AE,14,3,3,-3.259718,-7.8623085
AE,15,0,0,-0.16074991,-0.15396474
AE,15,1,1,-0.8122958,-0.58962166
AE,15,2,2,-0.99267346,-0.6772585
AE,15,3,3,-1.0829703,-0.6812188
AE,16,0,0,0.6166363,-0.21528491
AE,16,1,1,-0.4264552,-0.10514035
AE,16,2,2,-0.89612645,0.04705528
AE,16,3,3,-1.2102418,-0.11420894
AE,17,0,0,0.22032633,-0.80198795
AE,17,1,1,-1.081292,-1.528606
AE,17,2,2,-1.6371058,-3.882802
AE,17,3,3,-2.374901,-5.4610057
AE,18,0,0,0.7268678,-1.1300172
AE,18,1,1,-0.56033844,-1.5733478
AE,18,2,2,-1.5387427,-3.5905561
AE,18,3,3,-2.224394,-4.7703724
AE,19,0,0,-0.6376321,-0.77763295
AE,19,1,1,-0.9353263,-0.70537245
AE,19,2,2,-1.0408485,-0.6818271
AE,19,3,3,-1.1294247,-0.7046099
AE,20,0,0,-0.7808288,1.6062044
AE,20,1,1,-0.8393725,0.76984197
AE,20,2,2,-0.89693594,0.34571502
AE,20,3,3,-0.99767107,0.13098855
AE,21,0,0,-0.047887955,-1.0679948
AE,21,1,1,-1.2670118,-2.0752933
AE,21,2,2,-1.9058086,-3.2453644
AE,21,3,3,-2.3131728,-4.322933
AE,22,0,0,-0.25093377,-1.4735698
AE,22,1,1,-1.0819265,-2.2989297
AE,22,2,2,-1.4665377,-2.8770392
AE,22,3,3,-1.7343,-2.815105
AE,23,0,0,0.31282112,-0.117950395
AE,23,1,1,-0.035373878,-0.5107367
AE,23,2,2,-0.9268939,-0.25962555
AE,23,3,3,-1.4459273,-0.7820178
AE,24,0,0,-0.093076974,-0.04234051
AE,24,1,1,-0.7621775,-0.5207332
AE,24,2,2,-0.9673203,-0.6163728
AE,24,3,3,-1.067474,-0.631439
AE,25,0,0,-0.22191793,-0.56310236
AE,25,1,1,-0.87546074,-1.1902252
AE,25,2,2,-1.1988771,-1.4702233
AE,25,3,3,-1.24741,-1.3535258
AE,26,0,0,0.2673431,-0.12979834
AE,26,1,1,1.2662306,-4.117755
AE,26,2,2,-1.0255246,-3.2531912
AE,26,3,3,-2.4317095,-2.4421303
AE,27,0,0,0.5115468,1.0369858
AE,27,1,1,-1.2480092,2.2995846
AE,27,2,2,-1.0517241,1.4458704
AE,27,3,3,-1.1841817,0.93112725
AE,28,0,0,1.2664292,-0.30401063
AE,28,1,1,1.9808487,-0.33383337
AE,28,2,2,-1.0093929,1.3187953
AE,28,3,3,-1.5521246,0.84418654
AE,29,0,0,-0.15875155,0.6010449
AE,29,1,1,-0.92286015,0.3825719
AE,29,2,2,-0.9211768,0.11814943
AE,29,3,3,-1.0077708,-0.0445153
AE,30,0,0,1.1754881,-0.5301657
AE,30,1,1,1.180039,-0.6804026
AE,30,2,2,-0.92053974,0.60751504
AE,30,3,3,-1.2334633,0.12627316
AE,31,0,0,-0.15526238,-0.4808987
AE,31,1,1,-0.64926696,-0.44578066
AE,31,2,2,-0.9319517,-0.5308111
AE,31,3,3,-1.1420393,-0.635412
AE,32,0,0,-0.15966901,1.0509139
AE,32,1,1,-0.87385446,1.2343166
AE,32,2,2,-0.98801994,1.0947825
AE,32,3,3,-1.066908,0.8351643
AE,33,0,0,-0.71849537,0.7989414
AE,33,1,1,-0.8130842,0.4961342
AE,33,2,2,-0.86852735,0.29468134
AE,33,3,3,-0.9692581,0.14498925
AE,34,0,0,-0.12698135,-0.06920855
AE,34,1,1,-0.8567704,-0.28938895
AE,34,2,2,-0.97104925,-0.37820113
AE,34,3,3,-1.0514537,-0.44438037
AE,35,0,0,0.3943883,0.6341128
AE,35,1,1,-0.82271826,0.7249528
AE,35,2,2,-1.0639814,1.2684982
AE,35,3,3,-1.3522114,0.5754819
AE,36,0,0,0.34661165,0.092013806
AE,36,1,1,-0.63809913,0.12233932
AE,36,2,2,-1.0009096,0.6671982
AE,36,3,3,-1.360753,0.14559215
AE,37,0,0,0.20836024,0.40765607
AE,37,1,1,-0.86945325,0.9317004
AE,37,2,2,-0.9265114,0.6180874
AE,37,3,3,-1.0537249,0.40519044
AE,38,0,0,0.70355964,-0.5344429
AE,38,1,1,4.6237755,-3.5348964
AE,38,2,2,-0.8162465,0.15392686
AE,38,3,3,-2.6804597,-0.87583107
AE,39,0,0,-2.9684513,1.345108
AE,39,1,1,-1.4269867,0.7132898
AE,39,2,2,-1.0839121,0.5832908
AE,39,3,3,-1.016669,0.41364563
AE,40,0,0,-1.854742,-1.296927
AE,40,1,1,-1.7508979,-1.2967321
AE,40,2,2,-1.6324674,-1.234857
AE,40,3,3,-1.521208,-1.1325364
AE,41,0,0,0.8517393,0.82767546
AE,41,1,1,-0.93019545,1.0007167
AE,41,2,2,-0.9319576,0.50134695
AE,41,3,3,-1.0384979,0.23099272
AE,42,0,0,-1.3328834,0.34783146
AE,42,1,1,-1.0884727,0.08994557
AE,42,2,2,-0.99882436,0.059404746
AE,42,3,3,-0.9934437,0.00578594
AE,43,0,0,0.05702221,-0.3744809
AE,43,1,1,-0.8223223,-0.08665963
AE,43,2,2,-0.918885,-0.12014517
AE,43,3,3,-1.0028491,-0.20862412
AE,44,0,0,-1.3206986,-2.6398294
AE,44,1,1,-2.119316,-3.9281611
AE,44,2,2,-2.8301356,-5.140079
AE,44,3,3,-3.411359,-5.949699
AE,45,0,0,-1.5050019,6.01081
AE,45,1,1,-1.4408457,3.1024797
AE,45,2,2,-1.2582161,2.02943
AE,45,3,3,-1.449308,1.6111561
AE,46,0,0,0.8567974,-1.9748514
AE,46,1,1,2.4597392,-3.377786
AE,46,2,2,0.004579682,-8.144127
AE,46,3,3,-2.7545576,-4.0018687
AE,47,0,0,-3.427796,9.029685
AE,47,1,1,-1.8154148,3.6490328
AE,47,2,2,-1.2614522,2.2896254
AE,47,3,3,-1.2351977,1.8098371
AE,48,0,0,0.8836553,-2.1976862
AE,48,1,1,1.7829381,-3.7181404
AE,48,2,2,1.220558,-7.035396
AE,48,3,3,-2.1447484,-2.4258873
AE,49,0,0,0.40140823,1.0368892
AE,49,1,1,-0.5611384,1.0850534
AE,49,2,2,-1.2456887,2.0989945
AE,49,3,3,-1.5342351,1.5247767
AE,50,0,0,0.7280722,-1.5175889
AE,50,1,1,4.2572365,-5.2795935
AE,50,2,2,4.3064876,-6.9322863
AE,50,3,3,0.22977085,-3.5998766
AE,51,0,0,2.3681865,-0.32921812
AE,51,1,1,1.8018174,-2.2811382
AE,51,2,2,-1.0262103,-6.3892374
AE,51,3,3,-3.3075676,-8.019689
AE,52,0,0,0.5813463,-0.7829611
AE,52,1,1,-0.7575853,0.08112806
AE,52,2,2,-1.408476,-0.28536782
AE,52,3,3,-2.0306165,-0.8742616
AE,53,0,0,1.1770526,0.12889864
AE,53,1,1,0.2191451,-0.12291356
AE,53,2,2,-1.152748,1.7766105
AE,53,3,3,-1.4182385,0.914487
AE,54,0,0,0.32128385,0.05132195
AE,54,1,1,-0.9710465,1.5435082
AE,54,2,2,-1.0642573,1.3259679
AE,54,3,3,-1.2960079,0.7859556
AE,55,0,0,0.36627123,0.38057187
AE,55,1,1,-0.13271116,-1.2018046
AE,55,2,2,-0.97725976,0.37885496
AE,55,3,3,-1.4277622,-0.2611996
AE,56,0,0,1.3122953,-0.42309073
AE,56,1,1,-0.5638856,1.1347395
AE,56,2,2,-0.99819535,1.0261111
AE,56,3,3,-1.3367736,0.45067114
AE,57,0,0,0.3110352,1.4120983
