step,z1,z2,score,gain,Dining and Drinking,Retail,Nightlife Spot,Community and Government,Travel and Transportation,Business and Professional Services,Landmarks and Outdoors,Arts and Entertainment,Health and Medicine,Sports and Recreation
0,-6.8400115966796875,0.5383498668670654,0.909419777513363,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-6.693758010864258,0.5295085310935974,0.8022510065905444,-0.10716877092281862,1.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
2,-6.542172431945801,0.5208421349525452,0.7311125571921895,-0.0711384493983549,2.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
3,-6.38663911819458,0.51264888048172,0.6886808739959629,-0.04243168319622659,3.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
4,-6.2287187576293945,0.5055349469184875,0.6561967537420749,-0.03248412025388803,4.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
5,-6.181576251983643,0.423285573720932,0.63039238531969,-0.02580436842238487,4.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0
6,-6.187551498413086,0.4288772940635681,0.6311722439814351,0.0007798586617451253,4.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0
7,-6.187647342681885,0.4204968214035034,0.6298748086807986,-0.0012974353006365291,3.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0
8,-3.189911365509033,1.119057536125183,0.17513361939832353,-0.4547411892824751,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,8.0
9,0.6361997723579407,3.9439938068389893,0.19604286296391377,0.020909243565590235,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,9.0
10,0.5603859424591064,3.8429222106933594,0.16543650766941803,-0.030606355294495735,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,8.0
