step,z1,z2,score,gain,Dining and Drinking,Retail,Nightlife Spot,Community and Government,Travel and Transportation,Business and Professional Services,Landmarks and Outdoors,Arts and Entertainment,Health and Medicine,Sports and Recreation
0,-0.22098946571350098,0.900151252746582,0.08063925520011422,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.2882470190525055,1.2325247526168823,0.3177666253599164,0.23712737015980218,7.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,-0.5768865942955017,4.7218427658081055,0.4561169992817098,0.1383503739217934,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,-0.056554846465587616,4.900435924530029,0.5449159208374541,0.08879892155574431,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
4,0.1670110672712326,5.361076831817627,0.6290567325705785,0.08414081173312438,7.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
5,-1.1958261728286743,5.631422519683838,1.090628624382496,0.4615718918119176,7.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
6,-1.4718132019042969,6.058712005615234,1.4718683944018123,0.3812397700193162,7.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
7,-2.236727714538574,6.164956092834473,1.9833463337973114,0.5114779393954991,7.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
8,-2.7717795372009277,6.04722785949707,2.2176655784530057,0.23431924465569431,7.0,3.0,1.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0
9,-3.027160167694092,6.366847991943359,2.5124277586284824,0.29476218017547673,7.0,4.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0
10,-2.8762717247009277,6.730924606323242,2.590879890533156,0.07845213190467337,7.0,3.0,2.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0
