category,model,amount,avg_offset
Dining and Drinking,PCA,1,0.04805651307106018
Dining and Drinking,PCA,3,0.12774862349033356
Dining and Drinking,PCA,5,0.1932731419801712
Dining and Drinking,AE,1,0.10711470991373062
Dining and Drinking,AE,3,0.30046331882476807
Dining and Drinking,AE,5,0.45477911829948425
Dining and Drinking,VAE,1,0.12899790704250336
Dining and Drinking,VAE,3,0.36269277334213257
Dining and Drinking,VAE,5,0.5793122053146362
Dining and Drinking,ours,1,0.3143928349018097
Dining and Drinking,ours,3,0.9150096774101257
Dining and Drinking,ours,5,1.510162591934204
Retail,PCA,1,0.24071857333183289
Retail,PCA,3,0.5606552362442017
Retail,PCA,5,0.7857258319854736
Retail,AE,1,0.17548805475234985
Retail,AE,3,0.511195957660675
Retail,AE,5,0.8195846676826477
Retail,VAE,1,0.24669134616851807
Retail,VAE,3,0.664254367351532
Retail,VAE,5,0.951943576335907
Retail,ours,1,0.5831851363182068
Retail,ours,3,1.710941195487976
Retail,ours,5,2.602876663208008
Nightlife Spot,PCA,1,0.357597678899765
Nightlife Spot,PCA,3,0.7716102600097656
Nightlife Spot,PCA,5,1.0387232303619385
Nightlife Spot,AE,1,0.25044381618499756
Nightlife Spot,AE,3,0.6923935413360596
Nightlife Spot,AE,5,1.0475730895996094
Nightlife Spot,VAE,1,0.3004624843597412
Nightlife Spot,VAE,3,0.9940257668495178
Nightlife Spot,VAE,5,1.5575705766677856
Nightlife Spot,ours,1,0.7539898157119751
Nightlife Spot,ours,3,1.8279931545257568
Nightlife Spot,ours,5,2.3628318309783936
Community and Government,PCA,1,0.02841074950993061
Community and Government,PCA,3,0.057819563895463943
Community and Government,PCA,5,0.07540195435285568
Community and Government,AE,1,0.09793229401111603
Community and Government,AE,3,0.314641535282135
Community and Government,AE,5,0.560920774936676
Community and Government,VAE,1,0.27989327907562256
Community and Government,VAE,3,0.9488982558250427
Community and Government,VAE,5,1.486189842224121
Community and Government,ours,1,0.7776075005531311
Community and Government,ours,3,3.0110089778900146
Community and Government,ours,5,4.824852466583252
Travel and Transportation,PCA,1,0.22997035086154938
Travel and Transportation,PCA,3,0.47830450534820557
Travel and Transportation,PCA,5,0.6312887072563171
Travel and Transportation,AE,1,0.27555420994758606
Travel and Transportation,AE,3,0.7366775274276733
Travel and Transportation,AE,5,1.1097941398620605
Travel and Transportation,VAE,1,0.4741038680076599
Travel and Transportation,VAE,3,1.2948482036590576
Travel and Transportation,VAE,5,1.9402848482131958
Travel and Transportation,ours,1,3.552335023880005
Travel and Transportation,ours,3,4.311882495880127
Travel and Transportation,ours,5,4.9927825927734375
Business and Professional Services,PCA,1,0.08141390234231949
Business and Professional Services,PCA,3,0.17035011947155
Business and Professional Services,PCA,5,0.22536152601242065
Business and Professional Services,AE,1,0.11504629999399185
Business and Professional Services,AE,3,0.34361550211906433
Business and Professional Services,AE,5,0.4986344575881958
Business and Professional Services,VAE,1,0.2603055536746979
Business and Professional Services,VAE,3,0.7379261255264282
Business and Professional Services,VAE,5,0.9876053929328918
Business and Professional Services,ours,1,0.6142609715461731
Business and Professional Services,ours,3,1.483384132385254
Business and Professional Services,ours,5,1.9325107336044312
Landmarks and Outdoors,PCA,1,0.08147337287664413
Landmarks and Outdoors,PCA,3,0.1662266105413437
Landmarks and Outdoors,PCA,5,0.21705262362957
Landmarks and Outdoors,AE,1,0.21888695657253265
Landmarks and Outdoors,AE,3,0.46021705865859985
Landmarks and Outdoors,AE,5,0.518003523349762
Landmarks and Outdoors,VAE,1,0.26856729388237
Landmarks and Outdoors,VAE,3,0.8011492490768433
Landmarks and Outdoors,VAE,5,1.2342087030410767
Landmarks and Outdoors,ours,1,0.6590568423271179
Landmarks and Outdoors,ours,3,1.6448755264282227
Landmarks and Outdoors,ours,5,2.4769961833953857
Arts and Entertainment,PCA,1,0.19810540974140167
Arts and Entertainment,PCA,3,0.4122733473777771
Arts and Entertainment,PCA,5,0.5439688563346863
Arts and Entertainment,AE,1,0.185166135430336
Arts and Entertainment,AE,3,0.6597240567207336
Arts and Entertainment,AE,5,1.0658198595046997
Arts and Entertainment,VAE,1,0.2445448338985443
Arts and Entertainment,VAE,3,0.8928003907203674
Arts and Entertainment,VAE,5,1.5746570825576782
Arts and Entertainment,ours,1,0.8683949708938599
Arts and Entertainment,ours,3,2.2328438758850098
Arts and Entertainment,ours,5,3.009793281555176
Health and Medicine,PCA,1,0.002421187236905098
Health and Medicine,PCA,3,0.004903292283415794
Health and Medicine,PCA,5,0.006377323530614376
Health and Medicine,AE,1,0.07230738550424576
Health and Medicine,AE,3,0.2201940268278122
Health and Medicine,AE,5,0.38653573393821716
Health and Medicine,VAE,1,0.13784831762313843
Health and Medicine,VAE,3,0.42470261454582214
Health and Medicine,VAE,5,0.6480342149734497
Health and Medicine,ours,1,0.5258579850196838
Health and Medicine,ours,3,1.6397244930267334
Health and Medicine,ours,5,2.8277361392974854
Sports and Recreation,PCA,1,0.005486251786351204
Sports and Recreation,PCA,3,0.01103169284760952
Sports and Recreation,PCA,5,0.014296632260084152
Sports and Recreation,AE,1,0.13389435410499573
Sports and Recreation,AE,3,0.3934502899646759
Sports and Recreation,AE,5,0.574962317943573
Sports and Recreation,VAE,1,0.1517449915409088
Sports and Recreation,VAE,3,0.5320380330085754
Sports and Recreation,VAE,5,0.9029586315155029
Sports and Recreation,ours,1,0.6259991526603699
Sports and Recreation,ours,3,1.5227230787277222
Sports and Recreation,ours,5,1.9245198965072632
