category,amount,avg_offset
Dining and Drinking,1,0.20464521646499634
Dining and Drinking,3,0.6106221079826355
Dining and Drinking,5,1.0062847137451172
Retail,1,0.7591775059700012
Retail,3,2.033217668533325
Retail,5,2.957791805267334
Nightlife Spot,1,0.9258953332901001
Nightlife Spot,3,2.8803822994232178
Nightlife Spot,5,4.326061725616455
Community and Government,1,0.9085612893104553
Community and Government,3,3.023970603942871
Community and Government,5,4.39145565032959
Travel and Transportation,1,1.2877718210220337
Travel and Transportation,3,3.5308475494384766
Travel and Transportation,5,4.998889923095703
Business and Professional Services,1,0.4810350239276886
Business and Professional Services,3,1.2459321022033691
Business and Professional Services,5,1.7695027589797974
Landmarks and Outdoors,1,0.9179704785346985
Landmarks and Outdoors,3,2.30969500541687
Landmarks and Outdoors,5,3.1974360942840576
Arts and Entertainment,1,0.8307532668113708
Arts and Entertainment,3,2.219383955001831
Arts and Entertainment,5,2.8580095767974854
Health and Medicine,1,0.6670215725898743
Health and Medicine,3,2.2258291244506836
Health and Medicine,5,3.381458282470703
Sports and Recreation,1,0.3903484642505646
Sports and Recreation,3,1.0794490575790405
Sports and Recreation,5,1.6490888595581055
