[hparams]
  EPOCHS = 2000
  LR = 0.01
  LR_MIN = 0.001
  METRIC = mse
  SEED = 0
  NOISE_P = 0.0
  NOISE_MODE = thinning
  TSNE = True
  PERPLEXITY = 12.0
  TSNE_NORM = row
  TSNE_SCALE = True
  TSNE_LEARN_SCALE = True
  TSNE_BATCH = 0
  LAMBDA_TSNE = 0.0
  WARMUP_EPOCHS = 200
  DECAY_EPOCHS = 0
  GAMMA = 1.0
  PCGRAD = False
  SELECT_AFTER = 0

split：train 801 / val 185 / test 247

epoch    1 train_nll 0.32226 | train_tsne 3.85519 | kl 3.8488 | q_scale 1.00 | val_mse 7.26024 | test_mse 6.03006
epoch   50 train_nll -1.12143 | train_tsne 3.63290 | kl 3.6374 | q_scale 1.00 | val_mse 4.36645 | test_mse 3.49781
epoch  100 train_nll -1.15566 | train_tsne 3.62883 | kl 3.6185 | q_scale 1.00 | val_mse 4.02819 | test_mse 2.50505
epoch  150 train_nll -1.19218 | train_tsne 3.41404 | kl 3.4130 | q_scale 1.00 | val_mse 3.54855 | test_mse 2.94406
epoch  200 train_nll -1.29230 | train_tsne 3.40029 | kl 3.4030 | q_scale 1.00 | val_mse 2.24619 | test_mse 1.76964
epoch  250 train_nll -1.30570 | train_tsne 3.43669 | kl 3.4377 | q_scale 1.00 | val_mse 1.78158 | test_mse 1.64635
epoch  300 train_nll -1.31310 | train_tsne 3.47051 | kl 3.4721 | q_scale 1.00 | val_mse 1.93802 | test_mse 1.65854
epoch  350 train_nll -1.34150 | train_tsne 3.48601 | kl 3.4878 | q_scale 1.00 | val_mse 2.01812 | test_mse 1.86692
epoch  400 train_nll -1.36547 | train_tsne 3.49474 | kl 3.4934 | q_scale 1.00 | val_mse 2.45611 | test_mse 1.74015
epoch  450 train_nll -1.38720 | train_tsne 3.50030 | kl 3.5099 | q_scale 1.00 | val_mse 2.44319 | test_mse 1.76299
epoch  500 train_nll -1.39684 | train_tsne 3.50667 | kl 3.5152 | q_scale 1.00 | val_mse 3.01592 | test_mse 1.68669
epoch  550 train_nll -1.41228 | train_tsne 3.51909 | kl 3.5242 | q_scale 1.00 | val_mse 2.22331 | test_mse 1.70930
epoch  600 train_nll -1.43616 | train_tsne 3.53535 | kl 3.5354 | q_scale 1.00 | val_mse 2.47159 | test_mse 1.72969
epoch  650 train_nll -1.44223 | train_tsne 3.52430 | kl 3.5244 | q_scale 1.00 | val_mse 2.87037 | test_mse 1.78382
epoch  700 train_nll -1.43045 | train_tsne 3.54775 | kl 3.5459 | q_scale 1.00 | val_mse 2.74484 | test_mse 1.87417
epoch  750 train_nll -1.47841 | train_tsne 3.55834 | kl 3.5545 | q_scale 1.00 | val_mse 2.77720 | test_mse 1.98785
epoch  800 train_nll -1.47607 | train_tsne 3.56039 | kl 3.5624 | q_scale 1.00 | val_mse 2.96079 | test_mse 1.76427
epoch  850 train_nll -1.49943 | train_tsne 3.57063 | kl 3.5742 | q_scale 1.00 | val_mse 3.10339 | test_mse 2.11634
epoch  900 train_nll -1.51610 | train_tsne 3.57820 | kl 3.5826 | q_scale 1.00 | val_mse 2.96645 | test_mse 2.10826
epoch  950 train_nll -1.53188 | train_tsne 3.57966 | kl 3.5824 | q_scale 1.00 | val_mse 2.87906 | test_mse 2.14352
epoch 1000 train_nll -1.53494 | train_tsne 3.59065 | kl 3.5897 | q_scale 1.00 | val_mse 2.96356 | test_mse 2.07062
epoch 1050 train_nll -1.52068 | train_tsne 3.58488 | kl 3.5935 | q_scale 1.00 | val_mse 3.34873 | test_mse 2.29537
epoch 1100 train_nll -1.55542 | train_tsne 3.59802 | kl 3.5995 | q_scale 1.00 | val_mse 3.18870 | test_mse 2.29198
epoch 1150 train_nll -1.56117 | train_tsne 3.59354 | kl 3.5943 | q_scale 1.00 | val_mse 3.03894 | test_mse 2.19159
epoch 1200 train_nll -1.55598 | train_tsne 3.60106 | kl 3.6051 | q_scale 1.00 | val_mse 2.82545 | test_mse 2.22625
epoch 1250 train_nll -1.58252 | train_tsne 3.59883 | kl 3.6018 | q_scale 1.00 | val_mse 3.04851 | test_mse 2.23758
epoch 1300 train_nll -1.58421 | train_tsne 3.60127 | kl 3.5997 | q_scale 1.00 | val_mse 2.77732 | test_mse 2.27209
epoch 1350 train_nll -1.59001 | train_tsne 3.59836 | kl 3.5990 | q_scale 1.00 | val_mse 2.90240 | test_mse 2.37075
epoch 1400 train_nll -1.60087 | train_tsne 3.59569 | kl 3.5975 | q_scale 1.00 | val_mse 2.97821 | test_mse 2.38622
epoch 1450 train_nll -1.60538 | train_tsne 3.59746 | kl 3.5976 | q_scale 1.00 | val_mse 2.93802 | test_mse 2.47824
epoch 1500 train_nll -1.59130 | train_tsne 3.59506 | kl 3.5977 | q_scale 1.00 | val_mse 2.89379 | test_mse 2.40788
epoch 1550 train_nll -1.61945 | train_tsne 3.59317 | kl 3.5928 | q_scale 1.00 | val_mse 3.40628 | test_mse 2.64945
epoch 1600 train_nll -1.61718 | train_tsne 3.59302 | kl 3.5923 | q_scale 1.00 | val_mse 3.25465 | test_mse 2.48583
epoch 1650 train_nll -1.61867 | train_tsne 3.59187 | kl 3.5912 | q_scale 1.00 | val_mse 3.30608 | test_mse 2.66029
epoch 1700 train_nll -1.62548 | train_tsne 3.58943 | kl 3.5891 | q_scale 1.00 | val_mse 3.73533 | test_mse 2.75685
epoch 1750 train_nll -1.63060 | train_tsne 3.58565 | kl 3.5854 | q_scale 1.00 | val_mse 3.44737 | test_mse 2.79613
epoch 1800 train_nll -1.63419 | train_tsne 3.58772 | kl 3.5875 | q_scale 1.00 | val_mse 3.92635 | test_mse 2.79724
epoch 1850 train_nll -1.62982 | train_tsne 3.58411 | kl 3.5866 | q_scale 1.00 | val_mse 4.10711 | test_mse 2.94696
epoch 1900 train_nll -1.63837 | train_tsne 3.58444 | kl 3.5851 | q_scale 1.00 | val_mse 3.83326 | test_mse 2.88792
epoch 1950 train_nll -1.63838 | train_tsne 3.58597 | kl 3.5842 | q_scale 1.00 | val_mse 4.50024 | test_mse 2.98295
epoch 2000 train_nll -1.64214 | train_tsne 3.58313 | kl 3.5822 | q_scale 1.00 | val_mse 4.42561 | test_mse 2.96731

最佳 checkpoint：epoch 368，val_mse 1.68844
test_mse 1.68548（247 個 patch，全程未參與訓練與選 checkpoint）
done
