[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  EPOCHS = 3000
  SEED = 0
  NOISE_P = 0.3
  N_EXPERTS = 4
  TOP_K = 4
  LAMBDA_MOE = 0.01

split：train 987 / val 123 / test 123

epoch    1 | train_nll 0.28996 | train_fsce 3.85969 | train_moe 1.00000 | val_dev 2.97576
epoch    5 | train_nll -0.65539 | train_fsce 5.97314 | train_moe 1.00000 | val_dev 2.00011
epoch   10 | train_nll -0.77313 | train_fsce 4.37616 | train_moe 1.00000 | val_dev 1.79186
epoch   15 | train_nll -0.85261 | train_fsce 2.13780 | train_moe 1.00000 | val_dev 1.59613
epoch   20 | train_nll -0.97501 | train_fsce 1.38101 | train_moe 1.00000 | val_dev 1.29482
epoch   25 | train_nll -1.05622 | train_fsce 1.28362 | train_moe 1.00000 | val_dev 1.14278
epoch   30 | train_nll -1.11035 | train_fsce 1.21623 | train_moe 1.00000 | val_dev 1.04680
epoch   35 | train_nll -1.14862 | train_fsce 1.33901 | train_moe 1.00000 | val_dev 0.95449
epoch   40 | train_nll -1.16815 | train_fsce 1.38463 | train_moe 1.00000 | val_dev 0.92931
epoch   45 | train_nll -1.17474 | train_fsce 1.29510 | train_moe 1.00000 | val_dev 0.89428
epoch   50 | train_nll -1.19076 | train_fsce 1.33773 | train_moe 1.00000 | val_dev 0.87435
epoch   55 | train_nll -1.19796 | train_fsce 1.23781 | train_moe 1.00000 | val_dev 0.87207
epoch   60 | train_nll -1.20390 | train_fsce 1.31310 | train_moe 1.00000 | val_dev 0.87257
epoch   65 | train_nll -1.21342 | train_fsce 1.23661 | train_moe 1.00000 | val_dev 0.87157
epoch   70 | train_nll -1.21866 | train_fsce 1.30374 | train_moe 1.00000 | val_dev 0.84891
epoch   75 | train_nll -1.22926 | train_fsce 1.25687 | train_moe 1.00000 | val_dev 0.84308
epoch   80 | train_nll -1.22045 | train_fsce 1.17752 | train_moe 1.00000 | val_dev 0.83706
epoch   85 | train_nll -1.21627 | train_fsce 1.23805 | train_moe 1.00000 | val_dev 0.83874
epoch   90 | train_nll -1.22199 | train_fsce 1.25727 | train_moe 1.00000 | val_dev 0.84144
epoch   95 | train_nll -1.22112 | train_fsce 1.18883 | train_moe 1.00000 | val_dev 0.85042
epoch  100 | train_nll -1.22704 | train_fsce 1.17377 | train_moe 1.00000 | val_dev 0.83292
epoch  105 | train_nll -1.23829 | train_fsce 1.22669 | train_moe 1.00000 | val_dev 0.81324
epoch  110 | train_nll -1.23105 | train_fsce 1.16415 | train_moe 1.00000 | val_dev 0.82280
epoch  115 | train_nll -1.23522 | train_fsce 1.18812 | train_moe 1.00000 | val_dev 0.80473
epoch  120 | train_nll -1.24163 | train_fsce 1.10653 | train_moe 1.00000 | val_dev 0.80051
epoch  125 | train_nll -1.25129 | train_fsce 1.11453 | train_moe 1.00000 | val_dev 0.77083
epoch  130 | train_nll -1.25368 | train_fsce 1.13609 | train_moe 1.00000 | val_dev 0.77487
epoch  135 | train_nll -1.25622 | train_fsce 1.07556 | train_moe 1.00000 | val_dev 0.78664
epoch  140 | train_nll -1.25909 | train_fsce 1.02434 | train_moe 1.00000 | val_dev 0.77445
epoch  145 | train_nll -1.24230 | train_fsce 1.06763 | train_moe 1.00000 | val_dev 0.77251
epoch  150 | train_nll -1.25163 | train_fsce 1.03416 | train_moe 1.00000 | val_dev 0.77275
epoch  155 | train_nll -1.25892 | train_fsce 0.99145 | train_moe 1.00000 | val_dev 0.77298
epoch  160 | train_nll -1.21231 | train_fsce 1.22930 | train_moe 1.00000 | val_dev 0.86089
epoch  165 | train_nll -1.23544 | train_fsce 1.09194 | train_moe 1.00000 | val_dev 0.81066
epoch  170 | train_nll -1.23895 | train_fsce 0.98365 | train_moe 1.00000 | val_dev 0.79168
epoch  175 | train_nll -1.24646 | train_fsce 1.00185 | train_moe 1.00000 | val_dev 0.80168
epoch  180 | train_nll -1.21662 | train_fsce 1.05400 | train_moe 1.00000 | val_dev 0.85420
epoch  185 | train_nll -1.24334 | train_fsce 0.94649 | train_moe 1.00000 | val_dev 0.80303
epoch  190 | train_nll -1.24902 | train_fsce 0.95436 | train_moe 1.00000 | val_dev 0.79257
epoch  195 | train_nll -1.25081 | train_fsce 0.92385 | train_moe 1.00000 | val_dev 0.81416
epoch  200 | train_nll -1.25127 | train_fsce 0.98350 | train_moe 1.00000 | val_dev 0.79592
epoch  205 | train_nll -1.25145 | train_fsce 0.92940 | train_moe 1.00000 | val_dev 0.78692
epoch  210 | train_nll -1.24573 | train_fsce 0.99484 | train_moe 1.00000 | val_dev 0.79124
epoch  215 | train_nll -1.25722 | train_fsce 0.87649 | train_moe 1.00000 | val_dev 0.78742
epoch  220 | train_nll -1.25740 | train_fsce 0.85946 | train_moe 1.00000 | val_dev 0.77598
epoch  225 | train_nll -1.25548 | train_fsce 0.85676 | train_moe 1.00000 | val_dev 0.76690
epoch  230 | train_nll -1.23968 | train_fsce 0.87824 | train_moe 1.00000 | val_dev 0.80241
epoch  235 | train_nll -1.23988 | train_fsce 0.94195 | train_moe 1.00000 | val_dev 0.79103
epoch  240 | train_nll -1.24869 | train_fsce 0.91946 | train_moe 1.00000 | val_dev 0.80068
epoch  245 | train_nll -1.24264 | train_fsce 0.81967 | train_moe 1.00000 | val_dev 0.77400
epoch  250 | train_nll -1.23817 | train_fsce 0.93338 | train_moe 1.00000 | val_dev 0.82381
epoch  255 | train_nll -1.24997 | train_fsce 0.90479 | train_moe 1.00000 | val_dev 0.78779
epoch  260 | train_nll -1.26521 | train_fsce 0.83720 | train_moe 1.00000 | val_dev 0.80537
epoch  265 | train_nll -1.25611 | train_fsce 0.87211 | train_moe 1.00000 | val_dev 0.77285
epoch  270 | train_nll -1.26322 | train_fsce 0.82244 | train_moe 1.00000 | val_dev 0.77034
epoch  275 | train_nll -1.25582 | train_fsce 0.83235 | train_moe 1.00000 | val_dev 0.78476
epoch  280 | train_nll -1.26572 | train_fsce 0.83694 | train_moe 1.00000 | val_dev 0.76252
epoch  285 | train_nll -1.25361 | train_fsce 0.89131 | train_moe 1.00000 | val_dev 0.80216
epoch  290 | train_nll -1.24812 | train_fsce 0.90812 | train_moe 1.00000 | val_dev 0.79294
epoch  295 | train_nll -1.24615 | train_fsce 0.93550 | train_moe 1.00000 | val_dev 0.79031
epoch  300 | train_nll -1.25655 | train_fsce 0.88209 | train_moe 1.00000 | val_dev 0.78661
epoch  305 | train_nll -1.25152 | train_fsce 0.86173 | train_moe 1.00000 | val_dev 0.80509
epoch  310 | train_nll -1.26106 | train_fsce 0.86484 | train_moe 1.00000 | val_dev 0.82091
epoch  315 | train_nll -1.25312 | train_fsce 0.90881 | train_moe 1.00000 | val_dev 0.80622
epoch  320 | train_nll -1.26262 | train_fsce 0.87987 | train_moe 1.00000 | val_dev 0.79551
epoch  325 | train_nll -1.25927 | train_fsce 0.84101 | train_moe 1.00000 | val_dev 0.79737
epoch  330 | train_nll -1.26413 | train_fsce 0.86091 | train_moe 1.00000 | val_dev 0.79658
epoch  335 | train_nll -1.26112 | train_fsce 0.83656 | train_moe 1.00000 | val_dev 0.79203
epoch  340 | train_nll -1.26832 | train_fsce 0.82049 | train_moe 1.00000 | val_dev 0.79416
epoch  345 | train_nll -1.26224 | train_fsce 0.84789 | train_moe 1.00000 | val_dev 0.78792
epoch  350 | train_nll -1.25899 | train_fsce 0.81790 | train_moe 1.00000 | val_dev 0.78479
epoch  355 | train_nll -1.26542 | train_fsce 0.89785 | train_moe 1.00000 | val_dev 0.79096
epoch  360 | train_nll -1.27448 | train_fsce 0.82933 | train_moe 1.00000 | val_dev 0.76706
epoch  365 | train_nll -1.27126 | train_fsce 0.82955 | train_moe 1.00000 | val_dev 0.77308
epoch  370 | train_nll -1.27187 | train_fsce 0.81442 | train_moe 1.00000 | val_dev 0.82189
epoch  375 | train_nll -1.25638 | train_fsce 0.73725 | train_moe 1.00000 | val_dev 0.77406
