label,mean,std,max,min,q1,mid,q3
vae,0.83466,0.03005,0.88047,0.76785,0.82332,0.82937,0.85853
ae,0.82856,0.03616,0.88648,0.75707,0.81308,0.83369,0.85094
ours,0.72438,0.04400,0.77524,0.64631,0.69282,0.73436,0.75998
32+0.1,0.72365,0.03524,0.77981,0.65082,0.71198,0.71698,0.74143
32+0.5,0.79173,0.03566,0.85051,0.72902,0.76591,0.79600,0.80995
64+0.75,0.78003,0.02883,0.83365,0.72190,0.76719,0.78151,0.79035
64+0.5,0.77033,0.04052,0.80937,0.69819,0.73461,0.78821,0.80572
64+0.25,0.76247,0.02578,0.78892,0.70755,0.75025,0.76502,0.78641
64+0.1,0.74648,0.04066,0.83164,0.67101,0.73098,0.74469,0.76630
64+0.05,0.74688,0.04223,0.80266,0.65721,0.71563,0.75991,0.77456
64+0.01,0.73187,0.04075,0.79380,0.66125,0.69664,0.73913,0.76378
64+0.005,0.75663,0.03873,0.80148,0.67629,0.74621,0.75976,0.78970
